"filename", "language", "JSON", "JavaScript", "Rust", "Markdown", "C++", "HTML", "PostCSS", "Svelte", "JSON with Comments", "XML", "MS SQL", "comment", "blank", "total"
"d:\Dev\Projects\Grimoire\src-tauri\src\hardware.rs", "Rust", 0, 0, 524, 0, 0, 0, 0, 0, 0, 0, 0, 141, 100, 765
"d:\Dev\Projects\Grimoire\src-tauri\src\lib.rs", "Rust", 0, 0, 137, 0, 0, 0, 0, 0, 0, 0, 0, 24, 12, 173
"d:\Dev\Projects\Grimoire\src-tauri\src\main.rs", "Rust", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 17, 3, 24
"d:\Dev\Projects\Grimoire\src-tauri\src\vector.rs", "Rust", 0, 0, 686, 0, 0, 0, 0, 0, 0, 0, 0, 153, 100, 939
"d:\Dev\Projects\Grimoire\src-tauri\tauri.conf.json", "JSON", 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 44
"d:\Dev\Projects\Grimoire\src\App.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 1527, 0, 0, 0, 25, 153, 1705
"d:\Dev\Projects\Grimoire\src\app.css", "PostCSS", 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 17, 1, 49
"d:\Dev\Projects\Grimoire\src\assets\svelte.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\Dev\Projects\Grimoire\src\assets\vite.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"d:\Dev\Projects\Grimoire\src\lib\ActivityBar.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 142, 0, 0, 0, 7, 13, 162
"d:\Dev\Projects\Grimoire\src\lib\Calendar.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 430, 0, 0, 0, 31, 77, 538
"d:\Dev\Projects\Grimoire\src\lib\Chat.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 714, 0, 0, 0, 16, 73, 803
"d:\Dev\Projects\Grimoire\src\lib\ConfirmModal.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 18, 8, 73
"d:\Dev\Projects\Grimoire\src\lib\ContextMenu.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 173, 0, 0, 0, 4, 22, 199
"d:\Dev\Projects\Grimoire\src\lib\Counter.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 16, 3, 23
"d:\Dev\Projects\Grimoire\src\lib\DatabaseView.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 458, 0, 0, 0, 23, 50, 531
"d:\Dev\Projects\Grimoire\src\lib\DiffView.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 74, 0, 0, 0, 0, 6, 80
"d:\Dev\Projects\Grimoire\src\lib\FolderSidebar.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 364, 0, 0, 0, 5, 30, 399
"d:\Dev\Projects\Grimoire\src\lib\Graph.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 324, 0, 0, 0, 16, 52, 392
"d:\Dev\Projects\Grimoire\src\lib\ImprovePopover.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 1, 10, 54
"d:\Dev\Projects\Grimoire\src\lib\Kanban.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 445, 0, 0, 0, 22, 62, 529
"d:\Dev\Projects\Grimoire\src\lib\LockScreen.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 59, 0, 0, 0, 16, 12, 87
"d:\Dev\Projects\Grimoire\src\lib\NoteEditor.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 204, 0, 0, 0, 1, 14, 219
"d:\Dev\Projects\Grimoire\src\lib\NoteList.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 109, 0, 0, 0, 2, 8, 119
"d:\Dev\Projects\Grimoire\src\lib\NoteProperties.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 196, 0, 0, 0, 16, 14, 226
"d:\Dev\Projects\Grimoire\src\lib\PasswordModal.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 92, 0, 0, 0, 18, 13, 123
"d:\Dev\Projects\Grimoire\src\lib\QuickSwitcher.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 96, 0, 0, 0, 19, 11, 126
"d:\Dev\Projects\Grimoire\src\lib\Search.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 168, 0, 0, 0, 20, 19, 207
"d:\Dev\Projects\Grimoire\src\lib\Settings.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 93, 0, 0, 0, 16, 11, 120
"d:\Dev\Projects\Grimoire\src\lib\TabBar.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 98, 0, 0, 0, 10, 13, 121
"d:\Dev\Projects\Grimoire\src\lib\TemplateModal.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 170, 0, 0, 0, 19, 19, 208
"d:\Dev\Projects\Grimoire\src\lib\services\folderService.svelte.js", "JavaScript", 0, 162, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16, 181
"d:\Dev\Projects\Grimoire\src\lib\services\noteService.svelte.js", "JavaScript", 0, 264, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 284
